,rank,rankOldAndNew,movieCd,movieNm,salesAmt,audiCnt,scrnCnt,showCnt,targetDate
0,1,OLD,20161725,마스터,4399793100,506299,1245,5721,20170101
1,2,OLD,20163183,로그 원: 스타워즈 스토리,1612424700,173451,810,3335,20170101
2,3,OLD,20162025,씽,943975500,115152,721,1755,20170101
3,4,OLD,20144641,판도라,736891900,87966,576,1476,20170101
4,5,OLD,20167904,라라랜드,770889600,87529,590,1578,20170101
5,6,OLD,20161872,너의 이름은.,325811500,37418,275,342,20170101
6,7,OLD,20162727,루돌프와 많이있어,243890000,29910,372,581,20170101
7,8,OLD,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,154931400,19405,300,422,20170101
8,9,OLD,20152371,"당신, 거기 있어줄래요",166222000,18630,261,572,20170101
9,10,OLD,20165285,극장판 도라에몽: 신 진구의 버스 오브 재팬,28628400,3552,97,107,20170101
10,1,OLD,20161725,마스터,1404122100,183423,1161,5381,20170102
11,2,OLD,20162025,씽,510182500,70667,647,1718,20170102
12,3,OLD,20163183,로그 원: 스타워즈 스토리,417157300,49916,756,3163,20170102
13,4,OLD,20167904,라라랜드,356232200,45780,556,1654,20170102
14,5,OLD,20144641,판도라,283473300,38072,540,1495,20170102
15,6,OLD,20162727,루돌프와 많이있어,136419000,19063,340,533,20170102
16,7,OLD,20152371,"당신, 거기 있어줄래요",77880200,10133,305,616,20170102
17,8,OLD,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,64021400,9156,246,353,20170102
18,9,OLD,19890291,해리가 샐리를 만났을 때,11575000,1507,76,130,20170102
19,10,OLD,20161763,"나, 다니엘 블레이크",10015000,1362,39,60,20170102
20,1,OLD,20161725,마스터,1036588100,135859,1173,5334,20170103
21,2,OLD,20162025,씽,501522100,70773,681,1762,20170103
22,3,OLD,20167904,라라랜드,317474800,41085,567,1638,20170103
23,4,OLD,20163183,로그 원: 스타워즈 스토리,293678300,35485,759,3002,20170103
24,5,OLD,20144641,판도라,205442000,27605,538,1463,20170103
25,6,OLD,20162727,루돌프와 많이있어,143517700,20377,361,554,20170103
26,7,OLD,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,63022700,9079,244,348,20170103
27,8,OLD,20152371,"당신, 거기 있어줄래요",67144600,8951,306,614,20170103
28,9,OLD,20161763,"나, 다니엘 블레이크",21098300,3091,65,91,20170103
29,10,NEW,20163014,7년-그들이 없는 언론,16408000,2051,10,10,20170103
30,1,NEW,20161872,너의 이름은.,1032712400,138028,555,2176,20170104
31,2,OLD,20161725,마스터,784589300,102362,871,3552,20170104
32,3,NEW,20161084,패신저스,652157500,85044,524,2225,20170104
33,4,OLD,20150966,사랑하기 때문에,334212300,44941,496,1942,20170104
34,5,OLD,20162025,씽,313220000,44224,533,1113,20170104
35,6,NEW,20165153,눈의 여왕 3: 눈과 불의 마법대결,239802400,34965,458,825,20170104
36,7,OLD,20167904,라라랜드,201287700,25457,385,920,20170104
37,8,OLD,20151181,여교사,152788900,19575,371,910,20170104
38,9,OLD,20163183,로그 원: 스타워즈 스토리,154758800,17103,482,1278,20170104
39,10,OLD,20144641,판도라,92821100,12620,335,685,20170104
40,1,OLD,20161872,너의 이름은.,1003477000,132463,780,2771,20170105
41,2,OLD,20161725,마스터,709301100,92234,855,3321,20170105
42,3,OLD,20161084,패신저스,522148500,67929,530,2193,20170105
43,4,OLD,20162025,씽,293819600,41738,553,1127,20170105
44,5,OLD,20150966,사랑하기 때문에,268551700,36355,495,1848,20170105
45,6,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,238594000,34484,478,878,20170105
46,7,OLD,20167904,라라랜드,189576400,24059,388,917,20170105
47,8,OLD,20151181,여교사,128918100,16513,381,884,20170105
48,9,OLD,20163183,로그 원: 스타워즈 스토리,142000900,15460,458,1149,20170105
49,10,OLD,20144641,판도라,84874600,11481,322,642,20170105
50,1,OLD,20161872,너의 이름은.,1430176183,169402,907,3320,20170106
51,2,OLD,20161725,마스터,907001400,105235,871,3261,20170106
52,3,OLD,20161084,패신저스,623237647,72707,567,2243,20170106
53,4,OLD,20162025,씽,311574600,40419,566,1196,20170106
54,5,OLD,20150966,사랑하기 때문에,282776370,34492,507,1789,20170106
55,6,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,251587600,33216,498,956,20170106
56,7,OLD,20167904,라라랜드,250921653,28540,390,922,20170106
57,8,OLD,20163183,로그 원: 스타워즈 스토리,191462300,18632,444,1056,20170106
58,9,OLD,20151181,여교사,128854930,14947,382,849,20170106
59,10,OLD,20144641,판도라,94003800,11450,310,598,20170106
60,1,OLD,20161872,너의 이름은.,2828380459,335325,933,4061,20170107
61,2,OLD,20161725,마스터,2036651200,236394,884,3315,20170107
62,3,OLD,20161084,패신저스,1268189171,148502,603,2360,20170107
63,4,OLD,20162025,씽,601160900,74686,573,1309,20170107
64,5,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,547675400,69879,526,1176,20170107
65,6,OLD,20150966,사랑하기 때문에,476635370,57846,534,1596,20170107
66,7,OLD,20167904,라라랜드,432717029,48729,373,886,20170107
67,8,OLD,20163183,로그 원: 스타워즈 스토리,407776700,38850,433,937,20170107
68,9,OLD,20144641,판도라,177307500,21657,304,555,20170107
69,10,OLD,20151181,여교사,161276530,18450,393,730,20170107
70,1,OLD,20161872,너의 이름은.,2809088900,333008,947,4101,20170108
71,2,OLD,20161725,마스터,1903655600,220974,866,3186,20170108
72,3,OLD,20161084,패신저스,1107502600,129810,608,2272,20170108
73,4,OLD,20162025,씽,553849300,68237,575,1274,20170108
74,5,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,535436000,67605,524,1163,20170108
75,6,OLD,20150966,사랑하기 때문에,450612400,53856,542,1533,20170108
76,7,OLD,20167904,라라랜드,377343100,42658,387,889,20170108
77,8,OLD,20163183,로그 원: 스타워즈 스토리,346352500,33704,422,888,20170108
78,9,OLD,20144641,판도라,172051100,20971,297,539,20170108
79,10,OLD,20151181,여교사,118774800,13516,379,666,20170108
80,1,OLD,20161872,너의 이름은.,1178187800,154781,801,3882,20170109
