도서관명,시도명,시군구명,열람좌석수,자료수
강북문화정보도서관,서울특별시,강북구,282,197717
강북청소년문화정보도서관,서울특별시,강북구,154,41010
솔샘문화정보도서관,서울특별시,강북구,132,53612
송중문화정보도서관,서울특별시,강북구,67,27916
수유문화정보도서관,서울특별시,강북구,152,36361
미아문화정보도서관,서울특별시,강북구,140,35236
삼각산어린이도서관,서울특별시,강북구,182,12284
서초구립반포도서관,서울특별시,서초구,580,145516
서초구립내곡도서관,서울특별시,서초구,190,23450
서이도서관,서울특별시,서초구,100,23059
잠원도서관,서울특별시,서초구,80,16924
방배도서관,서울특별시,서초구,60,9817
서초그림책도서관,서울특별시,서초구,100,8423
다독다독,전라북도,임실군,20,4064
안 전,전라북도,임실군,20,3778
성수골,전라북도,임실군,10,16000
충 경,전라북도,임실군,10,8292
무지개빛,전라북도,임실군,10,8299
필 봉,전라북도,임실군,10,3756
아낌없이 주는나무,전라북도,임실군,10,4335
지사랑,전라북도,임실군,10,3400
전라북도 임실군립도서관,전라북도,임실군,150,42863
금산인삼고을도서관,충청남도,금산군,300,62639
금산기적의도서관,충청남도,금산군,100,48559
추부도서관,충청남도,금산군,100,44252
진산도서관,충청남도,금산군,120,31869
금산작은도서관,충청남도,금산군,20,6847
제원작은도서관,충청남도,금산군,20,6428
군북작은도서관,충청남도,금산군,20,6316
남일작은도서관,충청남도,금산군,20,5374
동구도서관,부산광역시,동구,440,10
도계도서관,강원도,삼척시,180,78310
원덕도서관,강원도,삼척시,75,64517
교육문화관,강원도,삼척시,578,181428
남양작은도서관,강원도,삼척시,20,4805
부산광역시립중앙도서관,부산광역시,중구,883,292285
부산광역시립중앙도서관 수정분관,부산광역시,동구,307,98420
부산영어도서관,부산광역시,부산진구,256,51491
부산광역시립구포도서관,부산광역시,북구,1543,298184
부산광역시립해운대도서관,부산광역시,해운대구,967,208008
부산광역시립해운대도서관 우동분관,부산광역시,해운대구,243,127051
부산광역시립시민도서관,부산광역시,부산진구,2232,743158
부산광역시립부전도서관,부산광역시,부산진구,445,274007
부산광역시립반송도서관,부산광역시,해운대구,339,181584
부산광역시립구덕도서관,부산광역시,서구,290,151158
부산광역시립서동도서관,부산광역시,금정구,245,143500
부산광역시립사하도서관,부산광역시,사하구,332,167486
부산광역시립연산도서관,부산광역시,연제구,330,111378
부산광역시립명장도서관,부산광역시,동래구,281,190661
교문2동작은도서관,경기도,구리시,12,12479
수택1동작은도서관,경기도,구리시,16,11201
인창동작은도서관,경기도,구리시,32,13578
교문도서관,경기도,구리시,458,167982
인창도서관,경기도,구리시,527,230790
토평도서관,경기도,구리시,571,151299
수택작은도서관,경기도,구리시,28,13170
갈매작은도서관,경기도,구리시,36,7317
무안군공공도서관,전라남도,무안군,150,59487
운중도서관,경기도,성남시,143,59125
수정도서관,경기도,성남시,573,321293
중원도서관,경기도,성남시,2000,334102
논골도서관,경기도,성남시,100,15672
판교도서관,경기도,성남시,523,189297
판교어린이도서관,경기도,성남시,406,76699
중원어린이도서관,경기도,성남시,708,115782
해오름도서관,경기도,성남시,717,372493
분당도서관,경기도,성남시,802,321822
구미도서관,경기도,성남시,843,214622
무지개도서관,경기도,성남시,222,34047
중앙도서관,경기도,성남시,2261,376623
동두천시립도서관,경기도,동두천시,362,208818
동두천꿈나무정보도서관,경기도,동두천시,124,137342
도심작은도서관,경기도,동두천시,80,8017
운동장작은도서관,경기도,동두천시,80,12667
군산시립도서관(자료열람실),전라북도,군산시,693,141976
군산시립도서관(학습실),전라북도,군산시,484,0
늘푸른도서관,전라북도,군산시,220,56905
설림도서관,전라북도,군산시,229,39344
임피채만식도서관,전라북도,군산시,80,34997
구암작은도서관,전라북도,군산시,32,20022
미성작은도서관,전라북도,군산시,50,21359
월명작은도서관,전라북도,군산시,63,17081
미룡작은도서관,전라북도,군산시,57,20449
흥남작은도서관,전라북도,군산시,48,19271
나포작은도서관,전라북도,군산시,58,15608
조촌작은도서관,전라북도,군산시,25,13969
나운작은도서관,전라북도,군산시,50,15296
산단작은도서관,전라북도,군산시,46,12761
서수작은도서관,전라북도,군산시,28,8160
옥과공공도서관,전라남도,곡성군,152,52875
생림작은도서관,경상남도,김해시,3,2425
활천행복작은도서관,경상남도,김해시,30,7299
한신책사랑작은도서관,경상남도,김해시,15,6978
한국작은도서관,경상남도,김해시,14,9418
하늘빛작은도서관,경상남도,김해시,32,9028
팔판작은도서관,경상남도,김해시,30,9092
캐슬작은도서관,경상남도,김해시,22,8051
책고래작은도서관,경상남도,김해시,20,12200
진례작은도서관,경상남도,김해시,40,9042
중흥샘이깊은작은도서관,경상남도,김해시,42,5310
주촌디딤돌작은도서관,경상남도,김해시,20,6086
젤미작은도서관,경상남도,김해시,25,13909
장유대우작은도서관,경상남도,김해시,30,16825
일동한신꿈나무작은도서관,경상남도,김해시,20,6294
이안나누리작은도서관,경상남도,김해시,30,7937
율하e편한작은도서관,경상남도,김해시,17,7468
월산주공작은도서관,경상남도,김해시,30,12900
우리작은도서관,경상남도,김해시,17,9913
시호미래작은도서관,경상남도,김해시,16,8750
소리작은도서관,경상남도,김해시,18,7408
석봉마을작은도서관,경상남도,김해시,30,5524
생각이크는작은도서관,경상남도,김해시,16,8634
삼계푸르지오작은도서관,경상남도,김해시,50,11674
삼계로얄작은도서관,경상남도,김해시,15,10246
불암동작은도서관,경상남도,김해시,24,10574
분성아이파크작은도서관,경상남도,김해시,15,7815
리첼작은도서관,경상남도,김해시,30,7510
뜨란채작은도서관,경상남도,김해시,20,8282
떡갈나무숲작은도서관,경상남도,김해시,16,6150
덕산작은도서관,경상남도,김해시,30,11291
대포천작은도서관,경상남도,김해시,20,9358
대동한마음작은도서관,경상남도,김해시,30,12408
대동푸른뜰작은도서관,경상남도,김해시,16,6729
내외작은도서관,경상남도,김해시,22,8061
김해글로벗도서관,경상남도,김해시,18,7926
글혜윰작은도서관,경상남도,김해시,28,9927
U보라작은도서관,경상남도,김해시,27,6359
진영한빛도서관,경상남도,김해시,262,122206
김해기적의도서관,경상남도,김해시,300,55454
장유도서관,경상남도,김해시,376,194346
화정글샘도서관,경상남도,김해시,545,135347
칠암도서관,경상남도,김해시,1070,179861
김해율하도서관,경상남도,김해시,0,25305
공군제8249부대작은도서관,경기도,군포시,20,5848
군포경찰서작은도서관,경기도,군포시,6,1536
군포새마을문고,경기도,군포시,20,3100
궁내동작은도서관,경기도,군포시,10,5654
그리심작은도서관,경기도,군포시,62,1052
금정작은도서관,경기도,군포시,27,9085
꿈드림작은도서관,경기도,군포시,12,3811
꿈마을작은도서관,경기도,군포시,40,4930
꿈을노래하는작은도서관,경기도,군포시,16,1907
꿈쟁이도서관,경기도,군포시,48,9794
노루목작은도서관,경기도,군포시,46,5345
농심작은도서관,경기도,군포시,6,4700
누림과나눔작은도서관,경기도,군포시,12,3080
느티나무작은도서관,경기도,군포시,40,4107
당동도서관,경기도,군포시,400,134755
당정동벤티움작은도서관,경기도,군포시,0,1887
당정문화도서관,경기도,군포시,97,42409
대야도서관,경기도,군포시,249,125588
동화나무도서관,경기도,군포시,40,16645
밥상머리북카페,경기도,군포시,70,16246
버드나무에부는바람,경기도,군포시,40,6299
부곡도서관,경기도,군포시,350,77165
북카페사랑아이엔지,경기도,군포시,72,7329
쁘레네 작은도서관별찌,경기도,군포시,15,2602
