도서관명,열람좌석수
강북문화정보도서관,282
강북청소년문화정보도서관,154
솔샘문화정보도서관,132
송중문화정보도서관,67
수유문화정보도서관,152
미아문화정보도서관,140
삼각산어린이도서관,182
서초구립반포도서관,580
서초구립내곡도서관,190
서이도서관,100
잠원도서관,80
방배도서관,60
서초그림책도서관,100
다독다독,20
안 전,20
성수골,10
충 경,10
무지개빛,10
필 봉,10
아낌없이 주는나무,10
지사랑,10
전라북도 임실군립도서관,150
금산인삼고을도서관,300
금산기적의도서관,100
추부도서관,100
진산도서관,120
금산작은도서관,20
제원작은도서관,20
군북작은도서관,20
남일작은도서관,20
동구도서관,440
도계도서관,180
원덕도서관,75
교육문화관,578
남양작은도서관,20
부산광역시립중앙도서관,883
부산광역시립중앙도서관 수정분관,307
부산영어도서관,256
부산광역시립구포도서관,1543
부산광역시립해운대도서관,967
부산광역시립해운대도서관 우동분관,243
부산광역시립시민도서관,2232
부산광역시립부전도서관,445
부산광역시립반송도서관,339
부산광역시립구덕도서관,290
부산광역시립서동도서관,245
부산광역시립사하도서관,332
부산광역시립연산도서관,330
부산광역시립명장도서관,281
교문2동작은도서관,12
수택1동작은도서관,16
인창동작은도서관,32
교문도서관,458
인창도서관,527
토평도서관,571
수택작은도서관,28
갈매작은도서관,36
무안군공공도서관,150
운중도서관,143
수정도서관,573
중원도서관,2000
논골도서관,100
판교도서관,523
판교어린이도서관,406
중원어린이도서관,708
해오름도서관,717
분당도서관,802
구미도서관,843
무지개도서관,222
중앙도서관,2261
동두천시립도서관,362
동두천꿈나무정보도서관,124
도심작은도서관,80
운동장작은도서관,80
군산시립도서관(자료열람실),693
군산시립도서관(학습실),484
늘푸른도서관,220
설림도서관,229
임피채만식도서관,80
구암작은도서관,32
미성작은도서관,50
월명작은도서관,63
미룡작은도서관,57
흥남작은도서관,48
나포작은도서관,58
조촌작은도서관,25
나운작은도서관,50
산단작은도서관,46
서수작은도서관,28
옥과공공도서관,152
생림작은도서관,3
활천행복작은도서관,30
한신책사랑작은도서관,15
한국작은도서관,14
하늘빛작은도서관,32
팔판작은도서관,30
캐슬작은도서관,22
책고래작은도서관,20
진례작은도서관,40
중흥샘이깊은작은도서관,42
주촌디딤돌작은도서관,20
젤미작은도서관,25
장유대우작은도서관,30
일동한신꿈나무작은도서관,20
이안나누리작은도서관,30
율하e편한작은도서관,17
월산주공작은도서관,30
우리작은도서관,17
시호미래작은도서관,16
소리작은도서관,18
석봉마을작은도서관,30
생각이크는작은도서관,16
삼계푸르지오작은도서관,50
삼계로얄작은도서관,15
불암동작은도서관,24
분성아이파크작은도서관,15
리첼작은도서관,30
뜨란채작은도서관,20
떡갈나무숲작은도서관,16
덕산작은도서관,30
대포천작은도서관,20
대동한마음작은도서관,30
대동푸른뜰작은도서관,16
내외작은도서관,22
김해글로벗도서관,18
글혜윰작은도서관,28
U보라작은도서관,27
진영한빛도서관,262
김해기적의도서관,300
장유도서관,376
화정글샘도서관,545
칠암도서관,1070
김해율하도서관,0
공군제8249부대작은도서관,20
군포경찰서작은도서관,6
군포새마을문고,20
궁내동작은도서관,10
그리심작은도서관,62
금정작은도서관,27
꿈드림작은도서관,12
꿈마을작은도서관,40
꿈을노래하는작은도서관,16
꿈쟁이도서관,48
노루목작은도서관,46
농심작은도서관,6
누림과나눔작은도서관,12
느티나무작은도서관,40
당동도서관,400
당정동벤티움작은도서관,0
당정문화도서관,97
대야도서관,249
동화나무도서관,40
밥상머리북카페,70
버드나무에부는바람,40
부곡도서관,350
북카페사랑아이엔지,72
쁘레네 작은도서관별찌,15
사랑이꽃피는작은도서관,20
사랑이있는작은도서관,40
산본도서관,692
삼성마을5단지작은도서관,37
새봄작은도서관,30
샤론작은도서관,40
숲속작은도서관,25
신산본자이2차아파트문고,16
어린이도서관,211
우리마을도서관,35
율곡마을작은도서관,15
재궁꿈나무도서관,50
주품북까페,60
중앙도서관,909
책놀이터작은도서관,22
큰꿈작은도서관,25
큰나무작은도서관,25
테바작은도서관,24
토리작은도서관,27
하늘정원작은도서관,29
해오름문고,20
산본녹색작은도서관,26
한솔동도서관,75
도담동도서관,162
아름동도서관,174
종촌동도서관,222
고운동도서관,220
보람동도서관,240
대평동도서관,230
새롬동도서관,210
남원시립도서관,180
