basic_date,close_value
01/04/2000,203500
01/05/2000,175000
01/06/2000,176000
01/07/2000,172500
01/10/2000,178000
01/11/2000,181000
01/12/2000,175500
01/13/2000,178500
01/14/2000,180000
01/17/2000,188500
01/18/2000,186500
01/19/2000,179500
01/20/2000,180000
01/21/2000,176000
01/24/2000,169500
01/25/2000,155500
01/26/2000,162000
01/27/2000,161500
01/28/2000,170000
01/31/2000,165000
02/01/2000,156500
02/02/2000,156000
02/03/2000,156000
02/07/2000,157500
02/08/2000,163000
02/09/2000,168500
02/10/2000,163000
02/11/2000,158000
02/14/2000,144000
02/15/2000,135000
02/16/2000,130000
02/17/2000,135000
02/18/2000,138000
02/21/2000,129500
02/22/2000,130500
02/23/2000,132000
02/24/2000,126000
02/25/2000,120000
02/28/2000,102000
02/29/2000,103000
03/02/2000,118000
03/03/2000,135500
03/06/2000,143500
03/07/2000,139000
03/08/2000,146000
03/09/2000,146500
03/10/2000,142000
03/13/2000,127000
03/14/2000,127000
03/15/2000,130000
03/16/2000,129500
03/17/2000,130000
03/20/2000,137000
03/21/2000,148500
03/22/2000,168000
03/23/2000,170000
03/24/2000,195000
03/27/2000,192500
03/28/2000,197000
03/29/2000,199000
03/30/2000,179000
03/31/2000,170000
04/03/2000,179500
04/04/2000,166000
04/06/2000,163500
04/07/2000,175000
04/10/2000,175000
04/11/2000,171000
04/12/2000,170000
04/14/2000,158500
04/17/2000,135000
04/18/2000,147500
04/19/2000,148500
04/20/2000,149500
04/21/2000,152500
04/24/2000,149000
04/25/2000,142000
04/26/2000,139000
04/27/2000,139000
04/28/2000,149000
05/02/2000,153500
05/03/2000,151000
05/04/2000,151000
05/08/2000,158500
05/09/2000,157000
05/10/2000,157500
05/12/2000,153000
05/15/2000,160500
05/16/2000,168000
05/17/2000,165000
05/18/2000,160000
05/19/2000,160000
05/22/2000,145500
05/23/2000,136000
05/24/2000,126500
05/25/2000,127000
05/26/2000,119500
05/29/2000,116500
05/30/2000,132000
05/31/2000,141000
06/01/2000,140000
06/02/2000,145000
06/05/2000,148500
06/07/2000,148500
