검색결과,,,,,,,,,,,,
구분,,,,,2018,,,,,,,
,,,,,요일별평균,,,,,,,
호선명,역명,행정구역,월,승하차,월요일,화요일,수요일,목요일,금요일,토요일,일요일,모든요일
2호선,강남,___역삼2동(서울강남),1월,총승하차,"239,980","244,733","244,523","261,014","192,505","110,301","206,777","215,833"
2호선,강남,___역삼2동(서울강남),2월,총승하차,"247,909","248,539","204,245","209,126","170,975","109,289","239,937","204,288"
2호선,강남,___역삼2동(서울강남),3월,총승하차,"228,898","230,406","210,124","251,264","198,429","115,248","222,397","209,254"
2호선,강남,___역삼2동(서울강남),4월,총승하차,"222,803","227,315","228,859","250,251","189,790","111,613","215,200","203,671"
2호선,강남,___역삼2동(서울강남),5월,총승하차,"189,653","223,686","229,223","255,441","183,820","115,746","198,970","200,926"
2호선,강남,___역삼2동(서울강남),6월,총승하차,"227,403","178,989","227,708","246,124","181,473","105,395","219,948","199,192"
2호선,강남,___역삼2동(서울강남),7월,총승하차,"242,377","252,635","252,634","269,503","187,578","107,802","234,154","218,421"
2호선,강남,___역삼2동(서울강남),8월,총승하차,"236,006","210,023","226,373","240,548","176,886","107,998","228,540","205,885"
2호선,강남,___역삼2동(서울강남),9월,총승하차,"188,603","196,906","221,866","242,495","174,719","99,628","172,910","182,095"
2호선,강남,___역삼2동(서울강남),10월,총승하차,"199,473","201,541","225,845","244,121","185,249","110,932","215,686","198,325"
2호선,강남,___역삼2동(서울강남),11월,총승하차,"221,100","222,682","224,009","246,961","191,487","114,524","215,938","207,259"
2호선,강남,___역삼2동(서울강남),12월,총승하차,"198,694","232,285","239,339","257,362","193,018","110,522","217,370","203,718"
